ORF,RNA Change (q-value FDR),Protein Change (q-value FDR),(C4)_030_rna,(C4)_060_rna,(C4)_090_rna,(C4)_120_rna,(C4)_240_rna,(C5)_030_rna,(C5)_060_rna,(C5)_090_rna,(C5)_120_rna,(C5)_240_rna,(C6)_030_rna,(C6)_060_rna,(C6)_090_rna,(C6)_120_rna,(C6)_240_rna,(C4)_030_protein,(C4)_060_protein,(C4)_090_protein,(C4)_120_protein,(C4)_240_protein,(C5)_030_protein,(C5)_060_protein,(C5)_090_protein,(C5)_120_protein,(C5)_240_protein,(C6)_030_protein,(C6)_060_protein,(C6)_090_protein,(C6)_120_protein,(C6)_240_protein
YNL106C,2E-06,,0.53,0.5,0.29,0.32,0.35,0.89,0.35,0.34,0.32,0.24,0.58,0.47,0.15,0.26,-0.03,,,,,,,,,,,,,,,
YNL107W,0.026306,,0.57,0.34,0.08,-0.3,-0.05,0.1,0.03,0.02,-0.03,0.25,0.35,0.12,0.15,0.06,0.06,,,,,,,,,,,,,,,
YNL109W,0.063619,,0.04,-0.24,-0.1,-0.07,-0.05,-0.18,-0.11,-0.12,0.07,-0.01,-0.02,-0.14,-0.07,0.05,0.03,,,,,,,,,,,,,,,
YNL114C,0.694872,,-0.06,-0.22,-0.06,0.03,0.09,-0.07,-0.03,0.03,-0.01,0,-0.13,0.15,-0.16,-0.08,-0.07,,,,,,,,,,,,,,,
YNL120C,0.000205,,0.16,0.26,0.14,0.24,0.17,0.13,0.16,0.16,0.19,0.07,0.05,0.17,0.13,0.13,0.16,,,,,,,,,,,,,,,
YNL122C,0.197402,,-0.02,0.25,-0.06,-0.1,0.27,-0.25,-0.11,0.18,0.06,0.11,-0.21,-0.14,0.26,-0.34,0.04,,,,,,,,,,,,,,,
YNL125C,0,,0.51,0.34,0.59,0.71,0.7,0.98,0.26,0.59,0.76,0.69,0.81,0.34,0.51,0.73,0.52,,,,,,,,,,,,,,,
YNL126W,3.9E-05,,-0.62,0.15,0.04,0.07,-0.07,-0.52,0.2,0.42,0.25,0.23,-0.73,-0.01,0.26,0.26,0.07,,,,,,,,,,,,,,,
YNL127W,0.01115,,0.05,-0.07,-0.09,-0.08,-0.18,0.24,-0.02,-0.03,-0.04,-0.08,0.2,0.05,-0.21,-0.07,-0.25,,,,,,,,,,,,,,,
YNL128W,0.016906,,0.16,0.01,0.08,0.07,-0.05,0.18,0.1,0.04,0.01,0,0.17,0.12,0.02,0.02,-0.01,,,,,,,,,,,,,,,
YNL133C,0.189456,,0.45,0.54,0.21,0.16,-0.06,0,-0.04,-0.16,-0.11,0.21,0.23,0.16,0.28,0.05,0.06,,,,,,,,,,,,,,,
YNL136W,0.082716,,0.32,0.13,-0.04,-0.07,-0.09,-0.36,-0.28,-0.41,-0.47,-0.38,-0.08,0.07,-0.07,-0.34,-0.39,,,,,,,,,,,,,,,
YNL138W-A,0.000565,,0.26,0.88,0.67,0.53,0.98,-0.12,0.16,0.26,0.19,0.45,-0.18,0.59,0.55,0.15,0.4,,,,,,,,,,,,,,,
YNL142W,0.002515,,-0.17,0.01,0.17,0.3,0.34,-0.02,-0.11,0.11,0.2,0.19,-0.23,0.06,0.17,0.2,0.04,,,,,,,,,,,,,,,
YNL143C,0.001761,,0.13,0.45,0.34,0.61,0.48,-0.04,0,0.24,0.02,0.43,0.08,0.73,0.71,0.15,0.5,,,,,,,,,,,,,,,
YNL144C,0.359473,,-0.11,0.09,-0.07,-0.09,-0.06,0.36,-0.25,0.06,-0.05,-0.07,0.21,0.05,-0.03,0.02,-0.27,,,,,,,,,,,,,,,
YNL146C-A,0.097533,,-0.14,-0.07,0.34,0.61,0.2,-0.5,-0.22,-0.14,0.07,0.06,-0.21,-0.17,0,-0.11,0.24,,,,,,,,,,,,,,,
YNL146W,0.00964,,0.38,0.12,0.29,-0.09,0.28,0.17,0.35,0.19,0.33,-0.21,0.79,0.29,0.28,0.19,0.39,,,,,,,,,,,,,,,
YNL148C,0.200981,,0.25,0.55,0.3,0.5,0.44,-0.37,0.01,0.11,0.07,0.28,-0.2,0.35,0.09,-0.14,-0.16,,,,,,,,,,,,,,,
YNL150W,0.973781,,-0.03,-0.07,-0.05,-0.07,-0.15,0.14,0.22,0.14,0.1,0.15,-0.01,-0.01,-0.02,-0.01,-0.05,,,,,,,,,,,,,,,
YNL152W,0.040441,,0.02,0.12,0,0.2,0.17,0.28,0.12,0.15,0.24,0.08,-0.03,0,0.06,0.09,0.09,,,,,,,,,,,,,,,
YNL156C,1E-05,,0.84,0.13,-0.11,0.03,0.2,1.23,0.33,0.22,0.45,0.31,0.88,-0.06,-0.09,0.07,0.41,,,,,,,,,,,,,,,
YNL158W,0.000799,,0.38,0.26,0.04,0.3,0.34,0.63,0.15,0.2,0.29,0.45,0.33,0.18,-0.04,0.07,-0.04,,,,,,,,,,,,,,,
YNL159C,9E-06,,0.81,0.27,0.35,-0.01,-0.02,1.43,0.62,0.69,0.53,0.46,1.3,0.28,0.45,0.36,0.53,,,,,,,,,,,,,,,
YNL162W-A,8E-06,,-0.7,-0.59,-0.72,-0.34,0.07,-1.76,-0.9,-1,-0.74,-0.13,-1.48,-0.5,-0.49,-0.36,-0.4,,,,,,,,,,,,,,,
YNL164C,0.007054,,-0.18,0.05,0.07,0.02,0.14,-0.68,-0.23,-0.14,-0.15,-0.09,-0.78,-0.14,-0.08,-0.19,-0.38,,,,,,,,,,,,,,,
YNL165W,0.480471,,-0.07,-0.06,-0.13,0.06,0.05,-0.03,0.06,-0.12,-0.07,0.19,0.06,0.18,0,-0.02,-0.01,,,,,,,,,,,,,,,
YNL167C,0.001578,,-0.16,-0.32,-0.27,-0.2,-0.39,0.06,-0.17,-0.09,-0.1,-0.28,0.26,-0.3,-0.16,-0.1,-0.18,,,,,,,,,,,,,,,
YNL169C,4.2E-05,,0.33,-0.01,0.09,0.06,0.15,0.35,-0.02,0.25,0.15,0.27,0.54,-0.05,0.09,0.05,0.34,,,,,,,,,,,,,,,
YNL170W,0.417194,,0.06,-0.18,0.14,-0.06,-0.03,0.1,0.02,-0.09,0.05,-0.05,0.24,0.01,0.15,0.27,0.29,,,,,,,,,,,,,,,
YNL171C,0.876665,,-0.07,-0.23,-0.28,0.06,-0.17,0.09,0.12,0.1,0.12,0.14,0.05,0.12,0.04,0.11,-0.05,,,,,,,,,,,,,,,
YNL172W,0.000576,,0.02,0.04,0.22,0.19,0.1,0.27,0.05,0.21,0.28,0.1,0.36,0.17,0.16,0.35,0.21,,,,,,,,,,,,,,,
YNL174W,0.006289,,-0.11,-0.14,0.05,-0.08,-0.06,-0.28,-0.05,-0.2,-0.2,-0.16,-0.35,-0.26,0.01,-0.21,-0.02,,,,,,,,,,,,,,,
YNL176C,4E-06,,-0.71,0,-0.36,-0.09,0.01,-0.62,-0.27,-0.32,-0.28,-0.29,-0.56,0,-0.37,-0.19,-0.26,,,,,,,,,,,,,,,
YNL179C,0.018304,,0.33,0.3,0.31,0.2,0.01,-0.04,-0.05,0.19,0.11,0.41,0.18,-0.07,0.19,0.14,0.37,,,,,,,,,,,,,,,
YNL180C,1.1E-05,,0.6,0.19,0.73,0.71,0.33,0.05,0.23,0.34,0.62,0.62,0.68,0.38,0.66,0.77,0.89,,,,,,,,,,,,,,,
YNL184C,0.845002,,0.15,-0.14,-0.09,-0.08,0.01,-0.12,0.08,-0.02,0.01,0.01,-0.01,-0.08,0.05,-0.13,-0.07,,,,,,,,,,,,,,,
YNL187W,0.326139,,-0.1,0.04,0,0.08,0.01,-0.12,0.05,-0.05,0.01,0.09,-0.22,0.1,-0.12,-0.18,-0.34,,,,,,,,,,,,,,,
YNL188W,7.2E-05,,-0.48,-0.12,-0.28,-0.14,-0.35,-0.93,-0.43,-0.43,-0.45,-0.24,-0.66,-0.08,-0.08,-0.2,-0.08,,,,,,,,,,,,,,,
YNL190W,0.021755,,-0.28,0.35,0.5,0.44,0.71,-0.44,0.08,0,0.21,0.32,-0.92,0.41,-0.01,-0.04,-0.19,,,,,,,,,,,,,,,
YNL194C,0,,3.77,1.03,1.2,1.17,1.14,5.45,1.82,1.58,1.68,1.24,5.98,2.1,1.67,2.08,2.06,,,,,,,,,,,,,,,
YNL195C,0,,4.22,0.92,1.02,1.29,1.14,5.25,2.14,1.2,1.53,1,5.43,2.33,1.43,1.82,1.69,,,,,,,,,,,,,,,
YNL196C,0.001104,,0.28,0.24,0.05,0.04,0.13,0.33,0.02,0.03,-0.01,-0.08,0.31,0.14,0.03,-0.01,0.03,,,,,,,,,,,,,,,
YNL198C,0.356269,,-0.09,-0.11,-0.14,-0.07,-0.23,-0.08,0,0.12,-0.15,0.02,0.04,-0.01,-0.01,0,-0.16,,,,,,,,,,,,,,,
YNL199C,0.001157,,-0.01,-0.02,-0.26,-0.09,-0.28,-0.02,-0.29,-0.3,-0.3,-0.1,-0.19,-0.04,-0.23,-0.39,-0.31,,,,,,,,,,,,,,,
YNL200C,0,,2.02,1.3,1.05,1.26,1.13,1.26,1.58,1.48,1.54,1.07,1.5,1.05,1.08,0.82,0.73,,,,,,,,,,,,,,,
YNL202W,0.006773,,0.19,0.05,-0.14,-0.13,-0.16,0.2,0.27,0.17,-0.09,-0.07,0.23,0.3,-0.12,-0.24,-0.37,,,,,,,,,,,,,,,
YNL203C,0.00014,,0.02,0.41,0.6,0.55,0.46,0.05,0.13,0.04,0.45,0.46,0.12,0.73,0.21,0.51,0.32,,,,,,,,,,,,,,,
YNL204C,0.005114,,0,-0.13,0.22,0.21,0.21,0.12,0.11,0.01,0.17,0.26,0.05,0.17,0.11,0.34,0.15,,,,,,,,,,,,,,,
YNL205C,0.298882,,-0.04,-0.11,0.28,0.17,-0.21,-0.08,0.05,-0.09,0.08,0.09,0.07,0.1,0.12,0.29,0.1,,,,,,,,,,,,,,,
YNL206C,0.402312,,0.08,0.18,0.1,-0.06,0.02,-0.12,0.04,0.1,-0.09,0.12,-0.19,0.06,0,-0.11,-0.27,,,,,,,,,,,,,,,
YNL207W,0,,-0.78,-0.57,-0.45,-0.58,-0.44,-1.03,-0.56,-0.54,-0.45,-0.22,-0.97,-0.37,-0.36,-0.45,-0.35,,,,,,,,,,,,,,,
YNL210W,0.628778,,-0.04,0.03,0.11,0.07,-0.03,0.02,-0.03,-0.04,0.07,-0.06,0.06,0,0.04,0.06,-0.01,,,,,,,,,,,,,,,
YNL211C,4.5E-05,,-0.07,-0.31,-0.3,-0.63,-0.27,0.06,-0.28,-0.32,-0.27,-0.41,-0.25,-0.72,-0.28,-0.43,-0.5,,,,,,,,,,,,,,,
YNL213C,0.015101,,0.08,0.17,-0.21,-0.16,-0.21,-0.3,-0.27,-0.23,-0.38,-0.02,-0.37,-0.37,-0.19,-0.4,-0.36,,,,,,,,,,,,,,,
YNL214W,1.6E-05,,0.39,0.28,0.14,0.47,0.35,1.02,0.38,0.46,0.49,0.54,0.91,0.14,0.45,0.2,0.33,,,,,,,,,,,,,,,
YNL215W,0.003281,,0.51,0.01,-0.05,-0.2,-0.23,0.01,-0.34,-0.45,-0.43,-0.17,0.09,-0.12,-0.34,-0.55,-0.44,,,,,,,,,,,,,,,
YNL217W,0,,-1.77,-1.01,-0.83,-0.51,-0.57,-1.55,-1.08,-0.84,-0.51,-0.19,-1.69,-1.02,-0.79,-0.72,-0.56,,,,,,,,,,,,,,,
YNL218W,0.000366,,-0.32,-0.02,-0.15,-0.05,-0.08,-0.52,-0.28,-0.28,-0.19,0.01,-0.39,-0.12,-0.15,-0.12,-0.32,,,,,,,,,,,,,,,
YNL223W,2E-06,,0.49,0.27,0.18,0.22,0.07,0.92,0.35,0.33,0.19,0.17,0.87,0.39,0.25,0.2,-0.09,,,,,,,,,,,,,,,
YNL225C,0.378963,,0.01,0.28,0.13,0.02,-0.15,0,-0.02,-0.02,-0.12,0.01,-0.04,0.03,0.09,-0.08,-0.06,,,,,,,,,,,,,,,
YNL226W,0.241966,,-0.14,-0.06,-0.09,-0.11,-0.03,-0.08,-0.24,0,-0.18,-0.06,-0.02,0.02,0,-0.02,0.1,,,,,,,,,,,,,,,
YNL228W,0.831164,,-0.03,-0.01,0.04,0.07,0.07,-0.06,-0.03,0.08,-0.04,0.08,-0.13,0.02,-0.07,-0.02,-0.12,,,,,,,,,,,,,,,
YNL230C,0.083708,,0.13,-0.12,-0.01,0.05,0.07,0.33,-0.24,-0.19,-0.16,-0.03,0.32,0.21,-0.09,-0.13,-0.21,,,,,,,,,,,,,,,
YNL233W,0.046203,,-0.18,0.24,-0.05,0,-0.02,-0.11,0.11,0.03,-0.18,-0.09,-0.02,0.08,0.02,-0.11,-0.05,,,,,,,,,,,,,,,
YNL234W,0.041017,,0.63,-0.17,-0.37,-0.16,-0.35,0.09,0.21,-0.03,-0.12,-0.05,0.16,0.08,-0.01,-0.16,-0.31,,,,,,,,,,,,,,,
YNL235C,0.981282,,0.02,-0.02,0.06,-0.02,0.14,-0.11,-0.09,-0.07,-0.01,-0.1,0,0.06,-0.01,0,0.04,,,,,,,,,,,,,,,
YNL236W,0.127764,,0.22,-0.04,-0.08,-0.13,-0.12,0.35,0.38,0.16,0.22,0.17,0.09,0.17,0.05,0.17,0.18,,,,,,,,,,,,,,,
YNL237W,0,,1.44,0.73,0.54,0.74,0.6,1.02,0.99,0.89,0.85,0.76,1.82,1.17,0.91,0.95,0.75,,,,,,,,,,,,,,,
YNL238W,0.062002,,-0.19,-0.08,0.13,0.06,0.11,-0.2,-0.16,0.04,-0.03,0.06,-0.15,-0.23,-0.05,-0.01,-0.24,,,,,,,,,,,,,,,
YNL240C,0.00012,,-0.65,-0.37,-0.11,-0.06,-0.01,-0.86,-0.36,-0.26,-0.37,-0.08,-0.73,0.2,-0.18,-0.04,-0.22,,,,,,,,,,,,,,,
YNL242W,2E-06,,0.76,0.3,0.13,0.14,0.02,0.92,0.48,0.42,0.39,0.28,0.67,0.39,0.16,0.15,-0.06,,,,,,,,,,,,,,,
YNL246W,0.00049,,-0.07,0.06,-0.19,-0.23,-0.18,-0.35,-0.19,-0.2,-0.33,-0.25,-0.25,-0.38,-0.22,-0.42,-0.42,,,,,,,,,,,,,,,
YNL249C,0.012598,,-0.21,0.03,-0.04,-0.06,0.1,-0.27,-0.03,-0.01,-0.06,-0.04,-0.31,-0.01,-0.14,-0.14,-0.26,,,,,,,,,,,,,,,
YNL252C,0.000461,,-0.22,-0.14,-0.12,-0.13,-0.07,-0.33,-0.34,-0.23,-0.24,-0.2,-0.06,-0.19,-0.17,-0.17,-0.2,,,,,,,,,,,,,,,
YNL253W,8.1E-05,,0.47,0.19,0.01,0,0.06,0.81,0.43,0.21,0.12,0.06,0.57,0.09,0.04,-0.08,-0.13,,,,,,,,,,,,,,,
YNL254C,0,,-0.3,-0.34,-0.43,-0.39,-0.41,-0.65,-0.34,-0.46,-0.52,-0.27,-0.67,-0.35,-0.46,-0.45,-0.6,,,,,,,,,,,,,,,
YNL257C,8.4E-05,,0.04,-0.31,-0.29,-0.21,-0.07,0.05,-0.27,-0.11,-0.16,0.09,0.07,-0.4,-0.23,-0.15,-0.07,,,,,,,,,,,,,,,
YNL263C,3.1E-05,,0.29,0.6,0.34,0.58,0.46,0.27,0.25,0.17,0.22,0.27,0.21,0.44,0.17,0.28,0.22,,,,,,,,,,,,,,,
YNL265C,0.002082,,0.8,0.09,-0.16,-0.12,0.23,0.41,0.21,-0.02,-0.08,0.1,0.38,0.06,0.07,-0.31,-0.24,,,,,,,,,,,,,,,
YNL266W,0.330972,,0,-0.04,0,-0.04,-0.03,-0.02,0,0,-0.08,0.02,-0.09,-0.09,-0.18,-0.16,-0.13,,,,,,,,,,,,,,,
YNL267W,0.000396,,-0.12,-0.1,-0.15,-0.22,-0.17,-0.26,-0.18,-0.15,-0.25,-0.12,-0.14,-0.12,-0.07,-0.1,-0.14,,,,,,,,,,,,,,,
YNL268W,9.6E-05,,-0.51,-0.17,-0.04,0.03,0.03,-0.64,-0.28,-0.19,-0.15,-0.16,-0.56,-0.28,-0.24,-0.13,-0.51,,,,,,,,,,,,,,,
YNL269W,0.330371,,0.04,0.3,-0.06,0.06,0.07,-0.04,-0.04,-0.22,0.07,-0.04,0.09,0.04,-0.05,0.02,0.01,,,,,,,,,,,,,,,
YNL270C,0.006986,,-0.01,0.02,0.15,0.17,0.04,0.06,0.09,0.07,0.2,0.13,0.13,0.08,0.02,0.25,0.03,,,,,,,,,,,,,,,
YNL273W,4.8E-05,,-0.72,-0.04,-0.3,-0.2,-0.19,-0.43,0,0.02,-0.16,0,-0.51,-0.04,-0.05,-0.15,-0.15,,,,,,,,,,,,,,,
YNL275W,0.000378,,-0.37,-0.33,-0.18,-0.26,-0.05,-0.3,-0.47,-0.39,-0.33,-0.14,-0.19,-0.25,-0.28,0.03,0.16,,,,,,,,,,,,,,,
YNL276C,8.9E-05,,-0.24,-0.31,-0.12,-0.17,-0.02,-0.26,-0.22,-0.33,-0.29,-0.14,-0.28,-0.47,-0.32,-0.16,-0.33,,,,,,,,,,,,,,,
YNL277W,0.008321,,-0.69,0.3,-0.28,0.2,0.26,-0.04,0.69,0.1,-0.07,0.31,-0.36,1.37,-0.46,-0.45,0.01,,,,,,,,,,,,,,,
YNL277W-A,0.917892,,-0.45,-0.17,-0.4,-0.22,-0.16,0.19,0.03,0.17,-0.26,0.14,0.21,0.18,0.09,0.04,0.1,,,,,,,,,,,,,,,
YNL279W,0.00763,,-0.12,-0.36,-0.27,-0.31,-0.29,0.6,-0.25,-0.38,-0.3,-0.32,0.35,0.03,-0.15,-0.13,-0.17,,,,,,,,,,,,,,,
YNL282W,0.013263,,-0.43,0.18,0.2,0.34,0.16,-0.98,-0.32,-0.23,-0.3,0.03,-1.01,0.35,-0.06,-0.25,-0.57,,,,,,,,,,,,,,,
YNL283C,6.5E-05,,-0.11,0.64,0.61,0.64,0.8,0.05,0.24,0.34,0.17,0.31,-0.07,0.57,0.4,0.54,0.36,,,,,,,,,,,,,,,
YNL284C,0.019837,,0.2,0.25,0.22,0.44,0.09,0.19,0.2,0.07,0.14,0.33,0.32,0.17,0.13,-0.05,-0.12,,,,,,,,,,,,,,,
YNL284C-A,0.000239,,0.01,-0.23,-0.14,-0.22,-0.48,-0.15,-0.1,-0.19,-0.29,-0.35,0.11,-0.27,-0.16,-0.04,-0.28,,,,,,,,,,,,,,,
YNL285W,0.138847,,-0.01,0.33,0.09,-0.08,-0.01,0.01,0.05,0.08,-0.03,0.05,-0.02,0.04,0.07,-0.13,-0.05,,,,,,,,,,,,,,,
YNL286W,1E-06,,-0.19,-0.46,-0.3,-0.28,-0.21,-0.28,-0.24,-0.44,-0.4,-0.3,-0.24,-0.3,-0.38,-0.43,-0.47,,,,,,,,,,,,,,,
YNL288W,0.279188,,0.09,-0.04,0.02,-0.02,0.26,0.27,-0.28,-0.27,-0.22,-0.21,0.06,-0.06,-0.08,-0.02,-0.02,,,,,,,,,,,,,,,
YNL291C,0.000934,,-0.36,-0.28,-0.15,-0.16,0.23,-0.3,-0.27,-0.22,-0.13,-0.06,-0.13,-0.29,-0.01,-0.01,0.19,,,,,,,,,,,,,,,
YNL293W,1E-06,,0.5,0.4,0.25,0.15,0.02,0.71,0.42,0.32,0.13,0.2,0.87,0.62,0.2,0.06,-0.06,,,,,,,,,,,,,,,
YNL294C,0.062039,,-0.01,-0.1,-0.18,0.02,0.23,0.26,-0.08,-0.2,-0.29,-0.13,0.17,-0.09,-0.38,-0.28,-0.38,,,,,,,,,,,,,,,
YNL295W,0.009665,,-0.03,-0.11,-0.03,-0.09,-0.2,0.18,-0.18,-0.21,-0.08,-0.08,0.2,-0.1,-0.21,-0.09,-0.12,,,,,,,,,,,,,,,
YNL296W,0.688864,,0.08,0.35,-0.01,-0.07,-0.07,0.14,0.05,-0.04,0.21,0.19,0.07,-0.1,-0.04,-0.1,-0.04,,,,,,,,,,,,,,,
YNL299W,2E-06,,-0.75,-0.34,-0.27,-0.21,-0.29,-1.3,-0.47,-0.68,-0.65,-0.33,-1.4,-0.35,-0.43,-0.56,-0.68,,,,,,,,,,,,,,,
YNL300W,0.000186,,-0.08,1.39,0.43,0.7,0.68,-0.45,1.08,0.5,0.51,0.53,-1.27,1.46,0.58,-0.06,-0.24,,,,,,,,,,,,,,,
YNL301C,0.000209,,-0.58,-0.63,-0.47,-0.32,-0.38,-0.71,-0.2,-0.16,-0.47,0,-1.01,-0.79,-0.02,-0.3,0.32,,,,,,,,,,,,,,,
YNL302C,6.7E-05,,-0.8,-0.01,-0.12,0.33,0.3,-0.86,-0.27,-0.27,-0.08,0.18,-1.54,-0.01,-0.31,-0.23,0.04,,,,,,,,,,,,,,,
YNL303W,0.10548,,0.02,0.18,-0.1,0.24,0,0.13,0.1,0.05,0.1,0.21,0.15,0.14,-0.13,-0.07,0.04,,,,,,,,,,,,,,,
YNL304W,0.000782,,0.2,0.25,0.26,0.12,0.22,0.36,0.12,0.07,0.06,0.14,0.35,0.31,0.13,-0.03,-0.04,,,,,,,,,,,,,,,
YNL305C,0,,1.53,1.27,1.05,0.95,1.16,2.16,1.13,0.99,1.01,0.84,1.9,1.17,0.86,0.67,0.63,,,,,,,,,,,,,,,
YNL306W,0.31501,,0.04,0.33,0.07,0.04,0.21,-0.35,0.12,0.11,0,0.2,-0.4,-0.1,0.01,-0.28,-0.27,,,,,,,,,,,,,,,
YNL309W,0.291032,,-0.3,0.16,0.02,0.17,0.02,-0.03,0.11,0.02,0.23,0.28,-0.4,0.32,-0.21,-0.27,-0.41,,,,,,,,,,,,,,,
YNL311C,0.001351,,-0.11,0.06,0.24,0.19,0.1,0.27,0.41,0.39,0.48,0.35,-0.11,0.18,0.21,0.42,0.38,,,,,,,,,,,,,,,
YNL314W,0.002368,,-0.09,0.35,0.13,0.26,0.25,0.01,0.03,-0.05,0.15,0.24,0.09,0.53,0.11,0.29,0.23,,,,,,,,,,,,,,,
YNL316C,0.56283,,-0.13,-0.21,-0.24,-0.16,-0.32,0.22,0.07,-0.11,-0.05,-0.08,0.19,-0.06,-0.02,0.08,0.17,,,,,,,,,,,,,,,
YNL317W,0.005255,,0.21,0.13,-0.2,-0.08,-0.03,0.29,-0.14,-0.34,-0.22,-0.15,0.12,0.09,-0.18,-0.14,-0.42,,,,,,,,,,,,,,,
YNL318C,0.903046,,-0.06,0.1,-0.06,-0.01,0,0.03,-0.02,0.03,0.05,-0.02,-0.03,0.05,-0.03,0.01,0.01,,,,,,,,,,,,,,,
YNL319W,0.407119,,0.07,0,-0.01,0.14,0.15,-0.05,-0.06,-0.15,0.15,-0.01,0.02,0.09,-0.04,0,0.01,,,,,,,,,,,,,,,
YNL320W,0.116154,,0.13,0.09,0.11,0.2,0.06,0.14,0.26,0.18,0.13,-0.11,0.28,-0.23,0.01,0.18,0.24,,,,,,,,,,,,,,,
YNL321W,0,,0.79,0.42,0.52,0.35,0.41,0.69,0.2,0.32,0.26,0.17,0.78,0.28,0.25,0.38,0.21,,,,,,,,,,,,,,,
YNL322C,1.9E-05,,0.32,0.29,0.27,0.5,0.42,0.34,0.3,0.28,0.38,0.54,0.17,0.53,0.32,0.18,0.16,,,,,,,,,,,,,,,
YNL324W,0.577309,,0.08,-0.03,-0.09,-0.13,-0.03,0.04,0.04,0.07,-0.08,-0.04,0.02,-0.12,-0.02,0.01,-0.05,,,,,,,,,,,,,,,
YNL325C,0.196835,,0.09,0.02,-0.09,-0.05,0,0.15,0.11,0.06,0.02,-0.02,0.11,0.05,0.01,-0.03,-0.21,,,,,,,,,,,,,,,
YNL326C,0.454895,,-0.1,-0.09,0.12,-0.03,-0.11,0.15,-0.05,0.03,0.02,-0.07,0.13,0.04,-0.08,0.14,-0.14,,,,,,,,,,,,,,,
YNL327W,0,,-0.97,-0.47,-0.38,0.14,-0.12,-1.25,-0.42,-0.73,-0.23,-0.16,-1.05,-0.08,-0.48,-0.07,0.07,,,,,,,,,,,,,,,
YNL328C,0.000576,,-0.46,-0.07,-0.04,0.21,0.2,-0.65,-0.28,-0.12,-0.02,-0.02,-0.54,0.02,-0.23,-0.1,-0.2,,,,,,,,,,,,,,,
YNL329C,0.035919,,0,-0.03,0.08,0.06,0.16,0.18,0.09,0.15,0.19,0.12,0.08,0.12,0.12,0.24,-0.05,,,,,,,,,,,,,,,
YNL331C,0.130007,,0.11,-0.1,-0.16,-0.04,-0.04,0.26,0.1,0.01,0.05,-0.01,0.17,-0.18,0.02,-0.15,-0.22,,,,,,,,,,,,,,,
YNL332W,0.000917,,-0.09,0.12,0.21,0.08,0.09,-0.04,0.07,0.24,0.21,0.26,-0.05,0.08,0.14,0.18,0.13,,,,,,,,,,,,,,,
YNL333W,0.375416,,-0.14,0.21,0.03,0.39,0.23,-0.11,0.07,0.01,0.03,0.28,-0.17,0.5,0.01,-0.29,-0.33,,,,,,,,,,,,,,,
YNL334C,0.157287,,-0.07,0.13,-0.01,0.14,0.21,0.3,0.24,0.27,0.33,0.31,0.24,0.18,0.07,-0.09,-0.17,,,,,,,,,,,,,,,
YNL335W,0.038056,,-0.08,-0.06,0,-0.04,-0.08,-0.1,-0.03,-0.11,0.05,-0.13,-0.15,-0.08,0,-0.07,-0.22,,,,,,,,,,,,,,,
YNL336W,1.6E-05,,0.59,0.3,0.42,0.24,0.23,0.64,0.71,1.05,0.68,0.21,0.98,0.2,0.83,0.43,0.54,,,,,,,,,,,,,,,
YNL337W,0.351915,,0.07,-0.28,-0.04,0.03,0.05,0.22,0.05,0.04,0,-0.1,0.04,-0.1,-0.08,0,0.09,,,,,,,,,,,,,,,
YNL338W,0.951211,,0.02,0.14,0.1,0.16,0.05,-0.03,-0.25,-0.17,-0.13,-0.59,-0.01,-0.2,0.1,0.12,0.32,,,,,,,,,,,,,,,
YNL339C,0.114485,,-0.51,-0.09,0.09,0.18,0.06,-0.33,-0.16,-0.15,-0.1,0.11,-0.38,0.29,-0.12,-0.43,-0.57,,,,,,,,,,,,,,,
YNL339W-A,0.685327,,-0.14,0.31,0.37,0.5,0.25,-0.08,-0.23,-0.27,-0.09,-0.13,-0.51,0.39,-0.21,-0.3,-0.47,,,,,,,,,,,,,,,
YNL339W-B,0.133418,,0.04,0.26,0.6,0.55,0.35,0.02,0.01,0,0.09,0.05,-0.07,0.81,0.16,0.01,-0.2,,,,,,,,,,,,,,,
YNR001W-A,0.026371,,0.34,0.5,0.35,0.27,0.44,0.05,0.17,0.05,0.39,-0.01,0.19,0,0.06,0.08,0.16,,,,,,,,,,,,,,,
YNR002C,0.00015,,0.56,0.18,0.2,0.27,0.19,1.67,0.03,0.19,0.23,0.15,1.99,0.63,0.27,0.36,0.31,,,,,,,,,,,,,,,
YNR004W,0.000273,,0.31,-0.14,-0.01,-0.24,-0.52,0.27,-0.47,-0.18,-0.07,-0.16,0.18,-0.45,-0.17,-0.24,-0.28,,,,,,,,,,,,,,,
YNR005C,0.96986,,-0.06,-0.03,0.05,-0.08,-0.04,-0.03,-0.1,-0.02,0.14,-0.03,0.01,0.04,-0.05,-0.02,0.01,,,,,,,,,,,,,,,
YNR007C,1.3E-05,,0.54,0.11,0.05,0.13,-0.21,0.92,0.22,0.2,0.17,0.1,1.11,0.23,0.33,0.21,0.03,,,,,,,,,,,,,,,
YNR008W,0.430971,,0.08,0.13,0.26,0.09,0.19,-0.15,0.22,0.15,0.09,0.18,-0.14,0.07,-0.1,0.01,-0.25,,,,,,,,,,,,,,,
YNR009W,0,,-1.45,0.77,0.86,1,0.48,-1.34,0.04,0.83,0.95,0.89,-1.64,0.19,0.66,0.88,0.57,,,,,,,,,,,,,,,
YNR010W,0.304623,,-0.08,0.05,-0.11,-0.12,0.01,0.37,0,-0.09,-0.09,0.09,-0.14,0.09,-0.13,-0.23,0.04,,,,,,,,,,,,,,,
